LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
10.4283224,55.3614174,68,Hospitalsringen,,,,,5260,,f081887ad0123620
12.3555134,55.8695548,20,TorvestrÃ¦det,,,,,3450,,5d943ec766c49ca4
10.2028544,56.1481137,90A,JÃ¦gergÃ¥rdsgade,,,,,8000,,bac9598ab377c6fd
10.2028544,56.1481137,90A,JÃ¦gergÃ¥rdsgade,,,,,8000,,bac9598ab377c6fd
10.1072927,56.3303964,6,Mejsevej,,,,,8370,,615fa0451adefec2
8.9427032,57.006415,10,GÃ¥rdbÃ¦kvej,,,,,7742,,2a98657dc8344908
10.2879814,56.2095378,327,EgÃ¥ Marina,,,,,8250,,0d0aae057741c77a
12.2644506,55.5718631,50,RÃ¸rhaven,,,,,2690,,546c676958ff31d9
12.1108485,55.5420485,18,Hyldeblomsthaven,,,,,4622,,f2d1e2168b758812
12.306949,55.6062174,31,Agenavej,,,,,2670,,dc30c4e89b1a556e
9.4982717,55.7231851,4,Stenbukken,,,,,7100,,3adb4194264513ca
11.1212264,55.6802023,53,StejlhÃ¸jvej,,,,,4400,,d17b0274524d1cea
9.757563,57.1494254,2,Ny Aabyvej,,,,,9440,,bee9f3a04a9fe07b
12.4581381,55.6370012,47,Hf. Dahlia,,,,,2650,,8716170a6d385332
15.0953603,55.1366284,44,Svanekevej,,,,,3740,,1a23c4b4d57406f2
11.4992983,55.8089123,4C,RÃ¥dhusvej,,,,,4550,,0f51bed6e43c6568
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
12.5179347,55.7104418,91,Skoleholdervej,,,,,2400,,a7f25b769d2b13b0
11.3561398,54.8308914,24A,Tjennemarkevej,,,,,4952,,c8e69b594f8ea221
12.5643777,55.6530762,43,Rundholtsvej,,,,,2300,,a82aa4d6c2ed88bd
8.5060771,56.4339782,28B,Aspvej,,,,,7600,,73c0b462388a46d8
12.5542949,55.6974142,11,Guldbergs Plads,,,,,2200,,d8793ce721792ca8
9.7499267,57.1566479,6,TorngÃ¥rdsallÃ©,,,,,9440,,ba2dec13b47bf88c
9.7090228,57.3128598,4,Hesteskoen,,,,,9480,,24c1e439fc8e13a6
8.8616331,54.9353088,91,Vestergade,,,,,6270,,715b60b8573d26b1
8.8616331,54.9353088,91,Vestergade,,,,,6270,,715b60b8573d26b1
10.3268483,55.3960854,135,Vibelund Havekoloni,,,,,5200,,5b37cdb1a259cabf
