LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.7576999,52.5924469,36,VechtetalstraÃŸe,,Laar,,,,,a1acca23df39d033
6.7709048,52.5962779,8,Heesterkanter StraÃŸe,,Laar,,,,,6a5e9f7e01fcd913
6.7625941,52.5711499,1,FÃ¼rstenweg,,Laar,,,,,89479458f7aec187
6.7587462,52.5729553,3,FÃ¼rstenweg,,Laar,,,,,b4972468f8fd5fd1
6.7384068,52.5934869,11,Zollweg,,Laar,,,,,849c37834a7dc487
6.766176,52.5782745,1,Scholtmanns Diek,,Laar,,,,,d91dc447f8f574d5
6.7463348,52.597325,24,VechtetalstraÃŸe,,Laar,,,,,267ab078a95c706b
6.7386019,52.5839794,19,FÃ¼rstenweg,,Laar,,,,,42ec3476058b79e6
6.7647914,52.5741568,4,Scholtmanns Diek,,Laar,,,,,e8a9cdc5ec0c4910
6.7462554,52.5805968,13,FÃ¼rstenweg,,Laar,,,,,52f5d38a874b68f4
6.7248353,52.5980411,5,Hardenberger Diek,,Laar,,,,,35b891992b105b04
6.7353009,52.5864369,24,Zollweg,,Laar,,,,,fae8fc977d4f527e
6.7475575,52.5764018,3,Twistfeld,,Laar,,,,,e58fbcfc02119f51
6.7390724,52.5949036,9,Zollweg,,Laar,,,,,7fee4d04e3e6d02c
6.7428393,52.5923279,3,Baarlinkweg,,Laar,,,,,469a151bbcc97d6f
6.7586488,52.5962243,4,Heesterkanter StraÃŸe,,Laar,,,,,66386f2fcd20ed1d
6.7470902,52.5975272,25A,VechtetalstraÃŸe,A,Laar,,,,,6f897109a7cb0e92
6.7379229,52.5923791,17,Zollweg,,Laar,,,,,6ad26d3048c79f41
6.7731903,52.5957919,9,Heesterkanter StraÃŸe,,Laar,,,,,79ab7f8cd99edac9
6.7262558,52.5912093,8,Prengerweg,,Laar,,,,,6afc54b73ab9d78c
6.7702276,52.5969068,7,Heesterkanter StraÃŸe,,Laar,,,,,22155003d94a1ce7
6.7472256,52.5980547,25,VechtetalstraÃŸe,,Laar,,,,,fcd4179c3a4d4d6e
6.7379074,52.5923378,19,Zollweg,,Laar,,,,,af74cd1371216412
6.7386345,52.5936857,11A,Zollweg,A,Laar,,,,,080c53acffae9693
6.7736836,52.5957405,9A,Heesterkanter StraÃŸe,A,Laar,,,,,82db275c42fbd592
6.7547363,52.5937125,32,VechtetalstraÃŸe,,Laar,,,,,8c530875dac9001a
6.7788508,52.5791096,28,Timmerweg,,Laar,,,,,db47bd36a1dd9993
6.7792987,52.5956063,11,Timmerweg,,Laar,,,,,a178bc96614374ba
6.7819166,52.5747975,37,Timmerweg,,Laar,,,,,54e87867272c0661
6.7774023,52.5973491,4,Timmerweg,,Laar,,,,,637963a057684dcf
6.778457,52.5949993,14,Timmerweg,,Laar,,,,,4a20717aa16baa35
6.7819128,52.572914,39,Timmerweg,,Laar,,,,,584373b28ca1a494
6.7806212,52.5784447,29,Timmerweg,,Laar,,,,,2adc46c0b5e427d6
6.7784238,52.5962164,8,Timmerweg,,Laar,,,,,4b27328f32c23fe4
6.7749163,52.5954688,12,Heesterkanter StraÃŸe,,Laar,,,,,cbd9058a64db5d39
6.7789534,52.5820852,22,Timmerweg,,Laar,,,,,8bbbc8dee7879085
6.7808909,52.5772052,31,Timmerweg,,Laar,,,,,1a81414e8af9c012
6.7764179,52.5908141,42,VechtetalstraÃŸe,,Laar,,,,,1005c2e31927d2b7
